Location,Traffic,                     Time
Ahilyanagar Bus Stand,High,9:00 AM
MIDC Area,MIDC Area,                     8:00AM
Savedi,Medium,8:00 PM
Shirdi Road,High,10:00 AM
Kopargaon Bus Stand,High,9:00 AM
Kopargaon Market,High,6:00 PM
Rahata Village,Low,2:00 PM
Shirdi Temple Area,Very High,11:00 AM
Puntamba Road,Low,1:00 PM
Kolpewadi,Medium,5:00 PM
Sangamner Bus Stand,High,9:00 AM
Station Road Ahilyanagar,High,7:00 PM
Pipeline Road,Medium,6:00 PM
Rahata Market,Medium,5:00 PM
Shirdi Airport Road,Medium,3:00 PM
Jejuri Road,Low,12:00 PM
Kolhar Road,Medium,4:00 PM
Kopargaon Railway Station,High,8:00 AM
Savedi Chowk,High,6:00 PM
MIDC Chowk,High,5:00 PM
Shirdi Bus Stand,Very High,10:00 AM
Nagar College Road,Medium,9:00 AM
Pathardi Road,Medium,7:00 AM
Rahuri Road,Medium,8:00 AM
Belapur Road,Medium,5:00 PM
Kolpewadi School Area,Medium,4:00 PM
Puntamba Bridge,Low,2:00 PM
Shirdi Rahata Road,High,11:00 AM
Sinnar Road,Medium,6:00 PM
Chitali Road,Low,1:00 PM
Kopargaon Shivaji Chowk,Very High,6:00 PM
Kopargaon MIDC Gate,High,6:00 PM
Godavari Bridge Kopargaon,High,6:00 PM
Market Chowk Kopargaon,Very High,7:00 PM
Railway Gate Kopargaon,High,8:00 AM
Old City Kopargaon,Medium,6:00 PM
Bus Stand Exit Kopargaon,High,9:00 AM
Kopargaon Bus Stand,High,6:00 PM
Kopargaon Market Road,High,6:00 PM
Kopargaon Market Road,Medium,11:00 AM
Kopargaon Railway Station,High,7:00 PM
Kopargaon MIDC Internal Road,Medium,2:00 PM
Kopargaon Sugar Factory Road,Very High,6:00 AM
Kopargaon Sugar Factory Road,High,5:00 PM
Kopargaon College Road,Medium,10:00 AM
Kopargaon College Road,Medium,3:00 PM
Kopargaon Hospital Road,High,11:00 AM
Kopargaon Hospital Road,Medium,8:00 PM
Kopargaon Court Area,High,11:00 AM
Kopargaon Court Area,Medium,4:00 PM
Kopargaon Shivaji Chowk,High,9:00 AM
Kopargaon Shivaji Chowk,Medium,1:00 PM
Kopargaon Main Road NH160,High,8:00 AM
Kopargaon Main Road NH160,High,7:00 PM
Kopargaon Rahata Road Junction,High,5:00 PM
Kopargaon Rahata Road Junction,Medium,10:00 AM
Kopargaon Puntamba Road Entry,Medium,12:00 PM
Kopargaon Puntamba Road Entry,Low,2:00 PM
Kopargaon Kolpewadi Road,Medium,5:00 PM
Kopargaon Kolpewadi Road,Low,2:00 PM
Kopargaon Godavari Bridge,High,6:00 PM
Kopargaon Godavari Bridge,Medium,11:00 AM
Kopargaon Bus Depot Chowk,High,8:00 AM
Kopargaon Bus Depot Chowk,High,6:00 PM
Kopargaon Market Chowk,Very High,7:00 PM
Kopargaon Market Chowk,High,10:00 AM
Kopargaon Police Station Road,Medium,9:00 AM
Kopargaon Police Station Road,Medium,6:00 PM
Kopargaon Bus Stand Internal,Very High,9:00 AM
Kopargaon Bus Stand Internal,Very High,6:00 PM
Kopargaon Petrol Pump Area,High,7:00 PM
Kopargaon Petrol Pump Area,Medium,2:00 PM
Kopargaon Railway Gate,High,8:00 AM
Kopargaon Railway Gate,High,7:00 PM
Kopargaon Old City Area,Medium,6:00 PM
Kopargaon Old City Area,Medium,10:00 AM
Kopargaon Bus Stand Road Exit,High,9:00 AM
Kopargaon Bus Stand Road Exit,High,6:00 PM
